qid,query,query_nmt,query_llm
72,"seorang kiai langgaran diminta membantu proses akad nikah dengan membimbing calon suami untuk malafalkan qabul nikah berbahasa arab, setelah akad selesai kiai ini meminta sejumlah uang sebagai imbalan atas jasa tersebut, bagaimana status pengambilan upah dalam kasus ini?",طُلب من كاهنة من قبيلة لانغاران المساعدة في إجراءات عقد الزواج من خلال توجيه الزوج المرتقب لتلاوة عقد الزواج باللغة العربية. بعد إتمام العقد، طلبت هذه الكاهنة مبلغًا معينًا من المال مقابل هذه الخدمة. ما هو حكم تقاضي الأجر في هذه الحالة؟,كياي في مصلى طُلب منه المساعدة في عملية عقد النكاح بتلقين الزوج التلفظ بقبول النكاح باللغة العربية، وبعد فراغ العقد طلب هذا الكياي مبلغا من المال كأجرة على هذه المنفعة، فما حكم أخذ الأجرة في هذه المسألة؟
73,mabuk perjalanan saat berpuasa,دوار الحركة أثناء الصيام,سكر السفر أثناء الصوم
74,apakah mimpi basah dapat membatalkan puasa?,هل يمكن أن يبطل الاحتلام الصيام؟,هل الاحتلام يبطل الصوم؟
75,"Karena masih dalam masa pengantin baru, Mas Jiko tidak dapat menahan diri untuk terus menciumi istrinya saat sedang berpuasa ramadan hingga keluar mani, apakah puasanya tetap sah ? ",لأنه كان لا يزال حديث الزواج، لم يستطع ماس جيكو كبح جماحه، فقبّل زوجته أثناء صيامها في رمضان حتى قذف. فهل صيامه صحيح؟,بسبب كونه عريسا جديدا، لم يستطع ماس جيكو أن يمسك نفسه عن تقبيل زوجته باستمرار وهو صائم في رمضان حتى خروج المني، فهل صومه لا يزال صحيحا؟
76,barang yang tidak boleh dipinjamkan,الأشياء التي لا يمكن إعارتها,العين التي لا يجوز إعارتها
77,apa yang menjadi tanggung jawab peminjam saat barang pinjaman rusak?,ما هي مسؤولية المستعير في حالة تلف الشيء المستعار؟,ما هو ضمان المستعير عند تلف العارية؟
78,"Dana dan Dono  adalah kakak beradik yang usianya terlampau jauh, saat ini Dana berusia 28 tahun sedangkan Dono masih berusia 8 tahun. suatu hari Dana menyuruh adiknya, Dono, untuk meminjam kamera kepada paman mereka. Dono pun berhasil mendapatkan kamera itu dari pamannya, saat perjalanan kembali, kamera itu terjatuh dan rusak. Dalam kondisi seperti ini, siapa yang bertanggungjawab atas kerusakan tersebut?",دانا ودونو شقيقان متباعدان في العمر، فدانا يبلغ من العمر 28 عامًا بينما دونو لا يزال في الثامنة من عمره. في أحد الأيام، طلب دانا من شقيقه الأصغر دونو استعارة كاميرا من عمهما. تمكن دونو من الحصول على الكاميرا، ولكن في طريق العودة، سقطت الكاميرا وانكسرت. في مثل هذه الحالة، من المسؤول عن هذا التلف؟,دانا ودونو أخوان الفارق في العمر بينهما كبير جدا، في هذا الوقت يبلغ دانا من العمر ٢٨ سنة بينما لا يزال دونو يبلغ ٨ سنوات. في يوم من الأيام وكل دانا أخاه، دونو، ليستعير كاميرا من عمهما. فنجح دونو في الحصول على تلك الكاميرا من عمه، وفي طريق العودة، سقطت الكاميرا وتلفت. في مثل هذه الحالة، على من يجب الضمان لتلك التلف؟
79,jual beli dengan ijab qabul main-main,البيع والشراء باتفاق مرح,البيع بإيجاب وقبول على وجه اللعب
80,mengapa pada jual beli harus ada akad?,لماذا يُشترط وجود عقد في عمليات البيع والشراء؟,لماذا يشترط العقد في البيع؟
81," Sekolah SMP Harapan Bangsa menerapkan konsep Kantin Kejujuran untuk membentuk karakter siswa menjadi pribadi yang jujur. kantin ini menyediakan seluruh kebutuhan siswa dengan disertai harga yang tercantum jelas di daftarnya. para siswa cukup meletakkan sejumlah uang yang seharga barang yang dibeli pada tempat yang telah disediakan. kondisi ini menimbukan kekhawatiran tentang apakah jual beli yang mereka lakukan sah, padahal tidak ada ijab dan qabul di dalamnya?","تُطبّق مدرسة هارابان بانغسا المتوسطة مفهوم ""مقصف الأمانة"" لغرس قيم الأمانة في نفوس الطلاب. يُوفّر هذا المقصف جميع احتياجات الطلاب بأسعار مُوضّحة في قائمة الطعام. يضع الطلاب ببساطة المبلغ المُناسب لقيمة ما يشترونه في المكان المُخصّص لذلك. يُثير هذا الوضع تساؤلات حول مدى مشروعية هذه المعاملات، نظرًا لعدم وجود اتفاق مُسبق بين الطرفين.",مدرسة إس إم بي هارابان بانغسا تطبق مفهوم مقصف الأمانة لتكوين شخصية الطلاب ليصبحوا أفرادا أمناء. هذا المقصف يوفر جميع احتياجات الطلاب مصحوبة بالثمن المكتوب بوضوح في القائمة. يكفي للطلاب وضع مبلغ من المال يعادل ثمن المبيع في المكان المعد لذلك. هذه الحالة تثير القلق حول ما إذا كان البيع الذي يقومون به صحيحا، والحال أنه لا يوجد فيه إيجاب وقبول؟
82,menjual pupuk kandang,بيع السماد العضوي,بيع الروث
83,apa hukum membeli barang yang belum pernah dilihat oleh pembeli?,ما هو الحكم في شراء سلع لم يرها المشتري من قبل؟,ما حكم شراء المبيع الذي لم يره المشتري قط؟
84,"seorang petani muda menjual hasil panen gabahnya kepada pengepul. Ia hanya memperihatkan sebagian gabah sebagai contoh untuk meyakinkan pembeli tentang kualitasnya, sementara sisa gabahnya tetap berada dalam karung-karung yang tertutup rapat. dalam hal ini apakah jual beli tersebut sah?",يبيع مزارع شاب محصوله من الأرز لجامع تحف. يعرض جزءًا منه فقط كعينة لإقناع المشترين بجودته، بينما يبقى الباقي في أكياس محكمة الإغلاق. هل هذه الصفقة صحيحة؟,مزارع شاب يبيع محصول حبوبه إلى المجمع (التاجر). هو فقط يري بعض الحبوب كأنموذج ليقين المشتري عن صفتها، بينما باقي حبوبه تبقى في أكياس مغلقة بإحكام. في هذه الحالة هل هذا البيع صحيح؟
85,berhutang untuk maksiat,مدين بسبب الخطيئة,الاستقراض للمعصية
86,mana yang lebih utama antara memberikan hutang atau bersedekah?,أيهما أهم، سداد دين أم تقديم صدقة؟,أيهما أفضل بين الإقراض أو التصدق؟
87,"sebut saja nama Toni, dia adalah seorang saudagar sukses yang telah punya banyak pengalaman dibidang jual beli properti. suatu hari, Toni kedatangan teman lama yang senang bermain slot atau judi online bernama Joko. tujuan Joko kemudian diketahui ingin berhutang sebanyak 15 juta dan berjanji akan membayarnya seminggu kemudian. apakah Toni boleh memberikan hutang kepada Joko ketika ada kemungkinan besar Joko tidak akan membayarnya?",لنسميه توني. إنه رجل أعمال ناجح ذو خبرة واسعة في بيع العقارات. في أحد الأيام، يزوره صديق قديم يُدعى جوكو، وهو مولع بألعاب القمار الإلكترونية. هدف جوكو هو اقتراض 15 مليون روبية إندونيسية، على أن يسددها بعد أسبوع. هل يستطيع توني إقراض جوكو المال في ظل احتمال كبير لعدم سداده؟,لنقل اسمه توني، هو تاجر ناجح لديه خبرات كثيرة في مجال بيع العقارات. في يوم من الأيام، جاء إلى توني صديق قديم يحب لعب السلوت أو القمار عبر الإنترنت واسمه جوكو. غرض جوكو كما علم فيما بعد هو أنه يريد أن يستقرض مبلغا قدره ١٥ مليونا ووعد بقضائه بعد أسبوع. هل يجوز لتوني إقراض جوكو عندما يكون هناك احتمال كبير أن جوكو لا يقضيه؟
88,menggadaikan barang pinjaman ,رهن البضائع المستعارة,رهن العارية
89,apakah bisa orang tua menggadaikan harta anaknya?,هل يجوز للوالدين رهن ممتلكات أبنائهم؟,هل يجوز للولي رهن مال ولده؟
90,"karena pertumbuhan penduduk sangat cepat, sebuah desa ingin merenovasi masjid menjadi dua lantai, yang jika dihitung-hitung menghabiskan biaya cukup besar. setelah melakukan muysawarah, biaya ini kemudian diambil dari kas masjid serta sumbangan masyarakat. Selain itu, muncul keinginan untuk menggadaikan sawah wakaf sebagai tambahan biaya renovasi. apakah tindakan ini diperbolehkan? ",نظراً للنمو السكاني السريع، ترغب إحدى القرى في تجديد مسجد مكون من طابقين، وهو ما سيكلف مبلغاً كبيراً. بعد المداولات، تم تخصيص الأموال من احتياطيات المسجد النقدية وتبرعات المجتمع. علاوة على ذلك، طُرح اقتراح برهن حقل أرز موقوف لتغطية تكاليف التجديد. هل هذا جائز؟,بسبب النمو السكاني السريع جدا، قرية تريد تجديد المسجد ليصبح طابقين، والذي إذا حسب يكلف نفقات كبيرة. بعد إجراء المشاورة، هذه التكلفة تؤخذ من صندوق المسجد وتبرعات المجتمع. بالإضافة إلى ذلك، ظهرت رغبة في رهن حقل موقوف كإضافة لرسوم التجديد. فهل هذا التصرف جائز؟
91,hantaran lamaran ,هدايا الخطوبة,هدية الخطبة
92,bolehkan menerima pemberian dari orang yang telah kita selamatkan?,هل يجوز قبول الهدايا من الأشخاص الذين أنقذناهم؟,هل يجوز قبول الهدية ممن أنقذناه؟
93,"Rafi melamar seorang perempuan yang sangat ia cintai. Sebagai bentuk keseriusannya, ia menyerahkan uang sebanyak 10 juta rupiah dan berbagai bingkisan lainnya kepada calon istri melalui walinya. namun kenyataan pahit harus diterima Rafi, cinta Rafi bertepuk sebelah tangan. calon istri ternyata sudah memiliki calon yang lebih pantas menurutnya. apakah Rafi berhak meminta uang dan bingkisan yang telah ia berikan?",تقدم رافي لخطبة امرأة أحبها بشدة. وكدليل على جديته، سلمها عشرة ملايين روبية إندونيسية وهدايا متنوعة عن طريق ولي أمرها. إلا أن رافي واجه الحقيقة المرة: حبه لم يكن متبادلاً. يبدو أن خطيبته كانت قد وجدت شريكًا أنسب. فهل كان لرافي الحق في المطالبة بالمال والهدايا التي قدمها لها؟,رافي يخطب امرأة يحبها حبا شديدا. وكشكل من أشكال جديته، سلم مبلغا من المال قدره ١٠ ملايين روبية وهدايا أخرى إلى المخطوبة عن طريق وليها. ولكن الحقيقة المرة يجب أن يقبلها رافي، حب رافي من طرف واحد. المخطوبة تبين أن لها خاطبا آخر تراه أليق بها. فهل يحق لرافي أن يطلب استرداد المال والهدايا التي قد أعطاها؟
94,wasiatnya anak kecil,إرادة الطفل الصغير,وصية الصبي
95,berapa batas maksimal wasiat?,ما هو الحد الأقصى للوصية؟,ما هو الحد الأقصى للوصية؟
96,"Hasan adalah pengusaha makanan cepat saji yang sedang sakit keras. Harta yang dimilikinya sekitar 15 Milyar. Ia ingin menyerahkan sebagian hartanya untuk pembangunan masjid di desanya.  Dalam surat wasiatnya, Hasan menyerahkan sebanyak 7,5 Milyar untuk diserahkan ke masjid. apakah wasiat seperti ini dapat dilaksanakan atau ada batasan tertentu?",حسن رجل أعمال في مجال الوجبات السريعة، وهو مريض بشدة. تبلغ ثروته حوالي 15 مليار روبية. يرغب حسن في التبرع بجزء من ثروته لبناء مسجد في قريته. وقد أوصى في وصيته بمبلغ 7.5 مليار روبية للمسجد. هل تُعتبر هذه الوصية نافذة، أم أن هناك قيودًا عليها؟,حاسان رجل أعمال في مجال الوجبات السريعة وهو في مرض مخوف. المال الذي يملكه حوالي ١٥ مليارا. هو يريد أن يسلم بعض ماله لبناء مسجد في قريته. في كتاب وصيته، حاسان يسلم مقدار ٧،٥ مليارا لتدفع للمسجد. هل يمكن تنفيذ وصية مثل هذه أم أن هناك حدودا معينة؟
97,melihat kelamin perempuan yang belum baligh,النظر إلى الأعضاء التناسلية لامرأة لم تبلغ سن البلوغ بعد,النظر إلى فرج الصبية
98,apakah suara perempuan termasuk aurat?,هل يُعتبر صوت المرأة عفة؟,هل صوت المرأة من العورة؟
99,"Rahmat sedang mendatangi acara walimah saudara laki-lakinya, tanpa sengaja ia duduk di depan seorang gadis non mahram. merasa ada kesempatan ia memadangi gadis ini berulang kali, meskipun tidak ada kebutuhan mendesak untuk melihatnya. dalam kondisi seperti ini bagaimana status pandangan Rahmat menurut hukum?",كان رحمت يحضر حفل زفاف أخيه عندما جلس بالصدفة أمام فتاة أجنبية. ولما رأى فرصة سانحة، حدّق بها مرارًا وتكرارًا، رغم عدم وجود حاجة ملحة لرؤيتها. في هذه الحالة، ما هو الوضع الشرعي لنظرة رحمت؟,رحمات يحضر وليمة أخيه، وبدون قصد جلس أمام فتاة أجنبية. وبشعوره بوجود فرصة نظر إلى هذه الفتاة مرارا وتكرارا، مع أنه لا توجد حاجة ماسة للنظر إليها. في مثل هذه الحالة ما حكم نظر رحمات شرعا؟
100,mahar tidak disebutkan ketika akad nikah,لا يُذكر المهر في عقد الزواج,عدم ذكر المهر في عقد النكاح
101,bagaimana jika salah menyebutkan nama calon istri ketika qabul nikah?,ماذا لو ذكرت اسماً خاطئاً لزوجتك المستقبلية عند قبولك عهود الزواج؟,ما الحكم إذا أخطأ في ذكر اسم الزوجة عند قبول النكاح؟
102,"Hartono menikahi Lim, dengan dihadiri oleh wali dan dua orang saksi, namun setelah akad nikah berlangsung Lim mengaku belum meyelesaikan masa iddah dari pernikahan sebelumnya. bagaimana status akad nikah yang dilakukan oleh Hartono?",تزوج هارتونو من ليم بحضور ولي أمرها وشاهدين. إلا أنه بعد انتهاء مراسم الزواج، اعترفت ليم بأنها لم تُكمل بعدُ فترة العدة من زواجها السابق. ما هو وضع زواج هارتونو؟,هارتونو ينكح ليم، بحضور ولي وشاهدين، ولكن بعد انعقاد عقد النكاح أقرت ليم بأنها لم تنه عدتها من نكاحها السابق. ما حكم عقد النكاح الذي أجراه هارتونو؟
103,Diyat unta untuk pelaku pembunuhan,دية الجمل للقتلة,دية الإبل للقاتل
104,bagaimana jika seseorang yang terkena denda berupa unta tapi dia tidak menemukan unta di daerahnya?,ماذا لو تم تغريم شخص ما بمبلغ يعادل ثمن جمل، لكنه لم يجد جملاً في منطقته؟,ما الحكم إذا وجبت الدية من الإبل على شخص ولكنه لم يجد الإبل في بلده؟
105,Seseorang didakwa telah melakukan tindakan kriminal dan dikenai hukuman membayar diyat beberapa ekor unta. Namun kebetulan di daerahnya tidak terdapat unta. Bagaimana ia membayar diyat tersebut,اتُهم شخص بارتكاب جريمة وحُكم عليه بدفع دية (نذر تقليدي) عبارة عن عدة جمال. لكن لا توجد جمال في منطقته. كيف يمكنه دفع الدية؟,شخص اتهم بجناية وحكم عليه بدفع دية من الإبل. ولكن اتفق أنه لا توجد إبل في بلده. فكيف يدفع تلك الدية؟
106,nikahnya perempuan dzimmi,زواج امرأة من أهل الذمة,نكاح الذمية
107,Apa saja syarat perempuan yang boleh dinikahi,ما هي الشروط التي تسمح للمرأة بالزواج؟,ما هي شروط المرأة التي يجوز نكاحها؟
108,Marak terjadi di zaman sekarang pernikahan beda agama. Bagaimana islam memandang hal tersebut?,أصبحت الزيجات بين الأديان المختلفة شائعة بشكل متزايد هذه الأيام. كيف ينظر الإسلام إلى هذا الأمر؟,كثر في هذا الزمان النكاح باختلاف الدين. فكيف ينظر الإسلام إلى ذلك؟
109,orang-orang yang tidak boleh menjadi wali nikah,الأشخاص الذين قد لا يكونوا أوصياء على الزواج,موانع الولاية في النكاح
110,Apa saja syarat wali nikah,ما هي متطلبات الوصي على الزواج؟,ما هي شروط الولي في النكاح؟
111,Seorang perempuan ingin menikah dan ia bingung untuk menentukan walinya. Bapaknya dulu merupakan seorang preman kampung meski sekarang sudah taubat. Apakah boleh dia menjadi wali nikah untuk anaknya,امرأة ترغب بالزواج، وهي مترددة بشأن اختيار ولي أمرها. كان والدها في السابق بلطجياً في القرية، لكنه تاب الآن. فهل يجوز له أن يكون ولي أمر ابنتها؟,امرأة تريد النكاح وهي متحيرة في تعيين وليها. كان أبوها سابقا فاسقا في القرية وإن كان قد تاب الآن. فهل يجوز له أن يكون وليا في نكاح بنته؟
112,hukum laki-laki memandang ajnabi,قانون الرجال ينظر إلى الأجنبي,حكم نظر الرجل إلى الأجنبية
113,Bagaimana hukum melihat alat kelamin anak kecil?,ما هو الحكم الشرعي بشأن النظر إلى الأعضاء التناسلية للطفل؟,ما حكم النظر إلى فرج الصغير؟
114,"Seorang santri sedang kasmaran dengan santriwati. Tiba-tiba santri tersebut melihat sekilas pujaan hatinya ada di depan pondok. Karena ia tidak berani memandangnya secara langsung, ia memandangnya lewat pantulan kaca mobil. Apakah hal tersebut diperbolehkan?",طالبٌ مغرمٌ بطالبة. فجأةً، يلمح الطالب حبيبته أمام المدرسة الداخلية. ولأنه لا يستطيع النظر إليها مباشرةً، ينظر إليها من خلال انعكاسها في نافذة سيارة. هل هذا جائز؟,طالب علم عاشق لطالبة. فجأة رأى هذا الطالب لمحة من معشوقته أمام المعهد. ولأنه لم يجرؤ على النظر إليها مباشرة، نظر إليها عبر انعكاس زجاج السيارة. فهل هذا جائز؟
115,mahar misil,مهر الصاروخ,مهر المثل
116,Apa itu maskawin sepadan?,هل المهر كافٍ؟,ما هو مهر المثل؟
117,"Seorang perempuan baru saja menikah namun dia belum menerima maharnya. Selang satu hari karena suatu hal, tiba-tiba dia dicerai oleh suaminya. Lalu bagaimana status maharnya?",تزوجت امرأة حديثًا لكنها لم تستلم مهرها بعد. وفي اليوم التالي، ولسبب ما، طلقها زوجها فجأة. فماذا كان وضع مهرها حينها؟,امرأة تزوجت حديثا ولكنها لم تقبض مهرها. وبعد مرور يوم بسبب من الأسباب، طلقها زوجها فجأة. فما هو حكم مهرها؟
118,Walimah ursy,حفل زفاف,وليمة العرس
119,Bagaimana hukum resepsi pernikahan,ما هو القانون المتعلق بحفلات الزفاف؟,ما حكم وليمة العرس؟
120,Ada seorang laki-laki memberikan sesuatu kepada perempuan yang dilamarnya. Dia bilang kalo ini merupakan mahar pernikahannya nanti. Sementara si perempuan bilang itu cuma hadiah biasa. Perkataan siapa yang dibenarkan?,كان هناك رجل يُقدّم هديةً لامرأةٍ كان ينوي الزواج منها، قائلاً إنها مهر زفافه. في المقابل، قالت المرأة إنها مجرد هدية عادية. فأيُّهما على حق؟,رجل أعطى شيئا لمخطوبته. وقال إن هذا هو مهر نكاحها الآتي. بينما قالت المرأة إنه مجرد هدية. فقول من المصدق؟
121,definisi khulu',تعريف كلمة khulu,تعريف الخلع
122,Apa hukum cerai tebus,ما هو القانون المتعلق بالطلاق بالإكراه؟,ما حكم الخلع؟
123,"Seorang laki mengucapkan kepada istri ""Aku khulu kamu"" namun dia tidak menyebutkan nominal tebusan. Apakah si perempuan wajib membayar tebusan? jika iya berapa tebusannya?","قال رجل لزوجته: ""أنا أدفع""، لكنه لم يحدد مبلغ الفدية. هل المرأة ملزمة بدفع الفدية؟ وإذا كان الأمر كذلك، فما مقدارها؟","رجل قال لزوجته ""خالعتك"" ولكنه لم يذكر قدر العوض. فهل يجب على المرأة دفع العوض؟ وإن وجب فكم قدر العوض؟"
124,Talak,الطلاق,الطلاق
125,Apa hukum perceraian?,ما هو القانون المتعلق بالطلاق؟,ما حكم الطلاق؟
126,Seorang kepala rumah tangga berada dalam garis kemiskinan. Dia merasa dirinya tidak bisa memenuhi hak-hak istri dan anaknya. Dia kemudian memutuskan untuk menceraikan istrinya. Bagaimana hukum perceraian dengan latar belakang demikian?,يعيش رب أسرة في فقر مدقع، ويشعر بأنه عاجز عن تلبية احتياجات زوجته وأبنائه، فيقرر حينها تطليقها. ما هو الأساس القانوني للطلاق في مثل هذه الحالة؟,رب أسرة تحت خط الفقر. أحس أنه لا يقدر على وفاء حقوق زوجته وأولاده. ثم قرر أن يطلق زوجته. فما حكم الطلاق بمثل هذه الخلفية؟
127,Syarat Ruju',شروط الإحالة,شروط الرجعة
128,Apa saja syarat rujuk setelah bercerai?,ما هي شروط المصالحة بعد الطلاق؟,ما هي شروط الرجعة بعد الطلاق؟
129,Seorang laki-laki telah mentalak tiga istrinya. Apakah boleh baginya untuk rujuk?,رجل طلق زوجاته الثلاث. هل يجوز له أن يصالحهن؟,رجل طلق زوجته ثلاثا. فهل يجوز له الرجعة؟
130,Iddahnya perempuan yang ditinggal suaminya,عدّة امرأة تركها زوجها,عدة المتوفى عنها زوجها
131,Apa saja pantangan bagi seorang perempuan yang ditinggal mati suaminya?,ما هي المحرمات بالنسبة للمرأة التي توفي زوجها؟,ما هي محرمات الإحداد على المتوفى عنها زوجها؟
132,"Seorang perempuan menikah pada usia 18 tahun, setahun berselang suaminya meninggal. Sebulan setelahnya, selayaknya perempuan seumurannya dia ingin menghibur diri dengan bermain bersama teman-temannya, berdandan, dsb. Apakah hal tersebut dibolehkan?",تزوجت امرأة في سن الثامنة عشرة، وبعد عام توفي زوجها. وبعد شهر، وكما هو معتاد لدى النساء في سنها، أرادت أن تُسلي نفسها باللعب مع صديقاتها، وارتداء ملابس أنيقة، وما إلى ذلك. هل هذا جائز؟,امرأة تزوجت في عمر ١٨ سنة، وبعد مرور سنة توفي زوجها. وبعد شهر من ذلك، كشأن النساء في عمرها أرادت أن تسلي نفسها باللعب مع صديقاتها، والتزين، ونحو ذلك. فهل هذا جائز؟
133,Definisi Riddah,تعريف الرضة,تعريف الردة
134,Apa tebusan yang perlu dikeluarkan oleh seseorang yang membunuh orang islam secara sengaja?,ما هي الفدية التي يجب أن يدفعها من يقتل مسلماً عمداً؟,ما هي الدية التي تجب على من قتل مسلما عمدا؟
135,"Seseorang sedang menjadi tawanan perang. Ia  kemudian dipaksa untuk keluar dari agama islam (murtad) karena jika tidak, ia akan disiksa habis-habisan. Apakah boleh murtad karena kondisi tersebut?",شخصٌ ما محتجزٌ كأسير حرب، ثم يُجبر على ترك الإسلام (الردة) وإلا سيُعرَّض للتعذيب الشديد. فهل يجوز الردة في هذه الظروف؟,شخص أسير في الحرب. ثم أكره على الخروج من الإسلام (الردة) لأنه إن لم يفعل سيعذب عذابا شديدا. فهل تجوز الردة بسبب تلك الحالة؟
136,penyebab faskh nikah,أسباب فشل الزواج,أسباب فسخ النكاح
137,Bagaimana hukum membatalkan pernikahan yang diajukan oleh istri karena suami tidak mampu mencukupi kebutuhan istri,ما هو القانون المتعلق بإبطال الزواج الذي ترفعه الزوجة لأن الزوج غير قادر على تلبية احتياجاتها؟,ما حكم فسخ النكاح الذي تطلبه الزوجة لإعسار الزوج بالنفقة؟
138,"sebelum menikah, seseorang perempuan terbiasa hidup mewah. Setelah menikah ternyata suaminya merupakan laki-laki yang pas-pasan secara finansial. Meskipun suami dapat mencukupi kebutuhan primer istri, tapi si istri merasa belum puas dan apa yang diberikan oleh si suami belum bisa mencukupi gaya hidupnya. Apakah boleh bagi si istri untuk mengajukan faskh?",قبل الزواج، تكون المرأة معتادة على حياة الرفاهية. بعد الزواج، يكتشف زوجها أنه يعاني من ضائقة مالية. ورغم قدرته على تلبية احتياجاتها الأساسية، إلا أنها تشعر بعدم الرضا، ولا يكفيها دعمه لتلبية متطلبات نمط حياتها. فهل يجوز للزوجة التقدم بطلب للحصول على فسخ؟,قبل النكاح، امرأة اعتادت على حياة الترف. وبعد النكاح تبين أن زوجها رجل ضيق الحال ماليا. مع أن الزوج يقدر على كفاية الحاجات الأساسية للزوجة، ولكن الزوجة تحس بعدم الرضا وأن ما أعطاه الزوج لم يكف أسلوب حياتها. فهل يجوز للزوجة أن تطلب الفسخ؟
139,syarat menjadi Qodli,شروط الانتماء إلى القودلي,شروط القاضي
140,Apa saja syarat seorang hakim dalam sistem hukum Islam?,ما هي متطلبات القاضي في النظام القانوني الإسلامي؟,ما هي شروط القاضي في نظام الحكم الإسلامي؟
141,Seseorang telah memenuhi syarat untuk bisa diangkat sebagai Qodli. Namun ia memiliki kendala dalam penglihatannya. Apakah ia tetap boleh diangkat sebagai Qodli?,شخصٌ استوفى شروط التعيين كقاضي قضائي، ولكنه يعاني من ضعف البصر. فهل يُمكن تعيينه كقاضي قضائي؟,شخص استكمل شروط تولي القضاء. ولكنه فيه آفة في بصره. فهل يجوز أن يولى القضاء؟
142,Hadiyyah Qodli,هادية قودلي,هدية القاضي
143,Bagaimana hukum gratifikasi terhadap hakim yang memutuskan perkara?,ما هو القانون المتعلق بالإكراميات للقضاة الذين يفصلون في القضايا؟,ما حكم الهدية للقاضي الذي يفصل في الدعوى؟
144,"Seorang pelaku kriminal sedang diadili oleh seorang hakim yang ternyata adalah kawan lamanya. Hakim memutuskan hukuman yang cukup ringan bagi pelaku. Selang beberapa tahun, setelah pelaku kriminal bebas, ia pergi ke rumah hakim dengan membawa buah tangan. Apakah boleh bagi Hakim untuk menerimanya?",يُحاكم مجرم أمام قاضٍ يتبين أنه صديق قديم. يُصدر القاضي حكماً مخففاً نسبياً بحق الجاني. بعد سنوات من إطلاق سراحه، يعود المجرم إلى منزل القاضي ومعه هدية. هل يجوز للقاضي قبولها؟,جان يحاكمه قاض تبين أنه صديقه القديم. فقضى القاضي بحكم خفيف جدا على الجاني. وبعد مرور سنوات، بعد أن أطلق سراح الجاني، ذهب إلى بيت القاضي حاملا هدية. فهل يجوز للقاضي أن يقبلها؟
145,perkara-perkara yang wajib dilaporkan ke hakim,الحالات التي يجب إبلاغ القاضي بها,الدعاوى التي يجب رفعها إلى القاضي
146,Bagaimana hukum mengambil barang milik orang yang memiliki hutang dengan kita namun tidak kunjung membayar?,ما هو القانون المتعلق بالاستيلاء على ممتلكات شخص مدين لنا ولم يسدد دينه؟,ما حكم أخذ مال من عليه دين لنا ولكنه يماطل في قضائه؟
147,Andi memiliki hutang terhadap Budi yang tidak kunjung dilunasi. Apakah boleh bagi Budi untuk mengambil harta Andi tanpa terlebih dahulu dilaporkan ke hakim?,أندي مدين لبودي بدين لم يُسدد. هل يجوز لبودي الاستيلاء على ممتلكات أندي دون إبلاغ القاضي أولاً؟,آندي عليه دين لـ بودي لا يوفيه. فهل يجوز لـ بودي أن يأخذ مال آندي من غير رفعه إلى القاضي أولا؟
148,Syahadah terhadap perzinaan,الشهادة ضد الزنا,الشهادة على الزنا
149,Berapa orang saksi dibutuhkan dalam perkara ketetapan awal bulan puasa?,كم عدد الشهود المطلوبين في حالة تحديد بداية شهر الصيام؟,كم شاهدا يشترط في قضية ثبوت هلال رمضان؟
150,Seseorang menyaksikan satu orang laki-laki dan perempuan keluar dari kamar kos. Lalu ia menuduh keduanya telah berzina. Apakah kesaksiannya dapat dibenarkan?,شاهد أحدهم رجلاً وامرأة يخرجان من النزل، ثم اتهمهما بالزنا. هل شهادته مبررة؟,شخص شاهد رجلا وامرأة يخرجان من غرفة سكن. ثم قذف كلاهما بالزنا. فهل تقبل شهادته؟
151,Qosam dengan lafadh selain nama Allah,القسام بكلمات أخرى غير اسم الله,اليمين بغير اسم الله
152,Bagaimana hukum bersumpah menggunakan makhluk?,ما هو القانون المتعلق باستخدام المخلوقات في الشتائم؟,ما حكم الحلف بالمخلوق؟
153,"Seseorang mengucapkan sumpah atas nama Allah, kemudian setelahnya ia mengatakan bahwa dirinya tidak bermaksud bersumpah.  Bagaimana hukum sumpahnya?",إذا أقسم شخص باسم الله، ثم قال لاحقاً إنه لم يقصد القسم، فما حكم هذا القسم؟,شخص تلفظ باليمين باسم الله، ثم بعد ذلك قال إنه لم يقصد اليمين. فما حكم يمينه؟
